"2350 Finch Avenue West ,  TORONTO ,  Ontario, Canada"
"Viva Churchill ,  MISSISSAUGA ,  Ontario, Canada"
"Wood Glen Estates ,  MISSISSAUGA ,  Ontario, Canada"
"Woodlands Secondary School ,  MISSISSAUGA ,  Ontario, Canada"
"Woodview Place ,  MISSISSAUGA ,  Ontario, Canada"
"Amica at City Centre ,  MISSISSAUGA ,  Ontario, Canada"
"Applewood Place ,  MISSISSAUGA ,  Ontario, Canada"
"Bella Vista Place ,  MISSISSAUGA ,  Ontario, Canada"
"Blessed Teresa of Calcutta Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"Brian W. Fleming Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Briarwood Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Bridgewood Place (Condominium) ,  MISSISSAUGA ,  Ontario, Canada"
"Burnhamthorpe Community Centre ,  MISSISSAUGA ,  Ontario, Canada"
"Cashmere Avenue Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Cawthra Gardens ,  MISSISSAUGA ,  Ontario, Canada"
"Clifton Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Compass Creek ,  MISSISSAUGA ,  Ontario, Canada"
"Confederation Place ,  MISSISSAUGA ,  Ontario, Canada"
"Constitution Place Reirement Residence ,  MISSISSAUGA ,  Ontario, Canada"
"Cooksville Care Centre ,  MISSISSAUGA ,  Ontario, Canada"
"Corpus Christie Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"Dixie Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Early Years Centre - Tomken Middle Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Eden Park Condominium ,  MISSISSAUGA ,  Ontario, Canada"
"Fairview Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Father Daniel Zanun Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"Father Michael Goetz Secondary School ,  MISSISSAUGA ,  Ontario, Canada"
"Floradale Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Heritage House ,  MISSISSAUGA ,  Ontario, Canada"
"Kaneff Place PCC232 ,  COOKSVILLE ,  Ontario, Canada"
"King Gardens - Retirement Living ,  MISSISSAUGA ,  Ontario, Canada"
"Lenworth Towers ,  COOKSVILLE ,  Ontario, Canada"
"Lolita Gardens ,  MISSISSAUGA ,  Ontario, Canada"
"Mary Fix Catholic School ,  MISSISSAUGA ,  Ontario, Canada"
"Metropolitan Andrei Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"Millbrook Place Seniors Residence ,  MISSISSAUGA ,  Ontario, Canada"
"Mississauga Central Library - Main Foyer ,  MISSISSAUGA ,  Ontario, Canada"
"Mississauga Civic Centre Great Hall ,  MISSISSAUGA ,  Ontario, Canada"
"Mississauga Muslim Community Centre ,  MISSISSAUGA ,  Ontario, Canada"
"Mississauga Valley Community Centre ,  COOKSVILLE ,  Ontario, Canada"
"Parkview Terrace Condo ,  MISSISSAUGA ,  Ontario, Canada"
"Place Royale PCC239 ,  MISSISSAUGA ,  Ontario, Canada"
"Riley Court ,  MISSISSAUGA ,  Ontario, Canada"
"Saint Philip Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"Saints Martha and  Mary Church ,  MISSISSAUGA ,  Ontario, Canada"
"Saints Peter and  Paul Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"Salvation Army Community Church ,  MISSISSAUGA ,  Ontario, Canada"
"Sen-Auga Court Seniors Residence ,  COOKSVILLE ,  Ontario, Canada"
"Silver Creek Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Silverthorn Public School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Alfred Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Catherine of Sienna Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Thomas More Catholic Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"Summerville Pines ,  MISSISSAUGA ,  Ontario, Canada"
"T. L. Kennedy Secondary School ,  MISSISSAUGA ,  Ontario, Canada"
"Tatry Non Profit Housing Corporation ,  MISSISSAUGA ,  Ontario, Canada"
"The Carlyle Residences I PCC388 ,  MISSISSAUGA ,  Ontario, Canada"
"The Carlyle Residences II PCC420 ,  MISSISSAUGA ,  Ontario, Canada"
"The Classique PCC449 ,  MISSISSAUGA ,  Ontario, Canada"
"The Emerald PCC485 ,  MISSISSAUGA ,  Ontario, Canada"
"The Fairmont PCC402 ,  MISSISSAUGA ,  Ontario, Canada"
"The Monarchy PCC452 ,  MISSISSAUGA ,  Ontario, Canada"
"The Odyssey PCC412 ,  MISSISSAUGA ,  Ontario, Canada"
"The Redmond ,  MISSISSAUGA ,  Ontario, Canada"
"The Tiara PSCC688 ,  MISSISSAUGA ,  Ontario, Canada"
"Thornwood Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Tomken Place ,  COOKSVILLE ,  Ontario, Canada"
"Westside Presbyterian Church ,  MISSISSAUGA ,  Ontario, Canada"
"ƒcole secondaire catholique Sainte-Famille ,  MISSISSAUGA ,  Ontario, Canada"
"Barondale Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Beechwood Court ,  MISSISSAUGA ,  Ontario, Canada"
"Bough Beeches Place ,  MISSISSAUGA ,  Ontario, Canada"
"Bristol Road Middle School ,  MISSISSAUGA ,  Ontario, Canada"
"Champlain Trail Public School ,  MISSISSAUGA ,  Ontario, Canada"
"David Leeder Middle School ,  MISSISSAUGA ,  Ontario, Canada"
"Derry West Village Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Evergreen ,  MISSISSAUGA ,  Ontario, Canada"
"Extendicare Brampton ,  BRAMPTON ,  Ontario, Canada"
"Extendicare Mississauga ,  MISSISSAUGA ,  Ontario, Canada"
"Fairwind Senior Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Fletcher's Creek Senior Public School ,  BRAMPTON ,  Ontario, Canada"
"Forum Italia Non Profit Housing ,  MISSISSAUGA ,  Ontario, Canada"
"Huntington Ridge Public School ,  MISSISSAUGA ,  Ontario, Canada"
"John Cabot Catholic Secondary School ,  MISSISSAUGA ,  Ontario, Canada"
"Levi Creek Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Meadowvale Village Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Mississauga Public Library ,  MISSISSAUGA ,  Ontario, Canada"
"Nahani Way Public School ,  MISSISSAUGA ,  Ontario, Canada"
"Phillip Pocock Catholic Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"Saints Martha and Mary Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"San Lorenzo Ruiz Catholic School ,  MISSISSAUGA ,  Ontario, Canada"
"Saviour of the World Chinese Catholic Church ,  MISSISSAUGA ,  Ontario, Canada"
"South Fletcher's Sportsplex ,  BRAMPTON ,  Ontario, Canada"
"Southbrook Lodge ,  BRAMPTON ,  Ontario, Canada"
"St. Basil Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Charles Garnier Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Gertrude Catholic Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Hilary Catholic Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Jude Catholic Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Julia Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Kevin Separate School ,  BRAMPTON ,  Ontario, Canada"
"St. Matthew Catholic Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Pio of Pietrelcina Catholic Elementary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Valentine Separate School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Veronica Secondary School ,  MISSISSAUGA ,  Ontario, Canada"
"St. Vincent de Paul ,  MISSISSAUGA ,  Ontario, Canada"
"Sunrise Assisted Living of Mississauga ,  MISSISSAUGA ,  Ontario, Canada"
"Tyndall Nursing Home ,  MISSISSAUGA ,  Ontario, Canada"
"Villa Forum Long Term Care Facility ,  MISSISSAUGA ,  Ontario, Canada"
"Westminster Court Senior Building ,  MISSISSAUGA ,  Ontario, Canada"
"Yee Hong Centre for Geriatric Care ,  MISSISSAUGA ,  Ontario, Canada"
"1 & 21 Upper Duke Crescent ,  MARKHAM ,  Ontario, Canada"
"30 & 32 Clegg Road ,  MARKHAM ,  Ontario, Canada"
"39 Upper Duke Crescent and 57 Upper Duke Crescent ,  MARKHAM ,  Ontario, Canada"
"50 Clegg Road/60 South Towne Centre Boulevard ,  MARKHAM ,  Ontario, Canada"
"55 South Town Centre Boulevard/75 South Town ,  MARKHAM ,  Ontario, Canada"
"Aldergrove Public School ,  MARKHAM ,  Ontario, Canada"
"Applecreek Seventh Day Adventist Church ,  MARKHAM ,  Ontario, Canada"
"Armadale Community Centre ,  MARKHAM ,  Ontario, Canada"
"Armadale Public School ,  MARKHAM ,  Ontario, Canada"
"Bethany Lodge/Court/Manor ,  MARKHAM ,  Ontario, Canada"
"Bill Crothers Secondary School ,  MARKHAM ,  Ontario, Canada"
"Blessed John Xxiii Elementary School ,  MARKHAM ,  Ontario, Canada"
"Boxwood Public School ,  MARKHAM ,  Ontario, Canada"
"Buttonville Public School ,  MARKHAM ,  Ontario, Canada"
"Calvary House ,  MARKHAM ,  Ontario, Canada"
"Cedarwood Public School ,  MARKHAM ,  Ontario, Canada"
"Central Park Public School ,  MARKHAM ,  Ontario, Canada"
"Circa Shared Facilities YRSCC1067 ,  MARKHAM ,  Ontario, Canada"
"Circa Shared Facilities YRSCC1183 ,  MARKHAM ,  Ontario, Canada"
"Coledale Public School ,  MARKHAM ,  Ontario, Canada"
"Coppard Glen Public School ,  MARKHAM ,  Ontario, Canada"
"Ellen Faircough Public School ,  MARKHAM ,  Ontario, Canada"
"Father Michael McGivney Secondary School ,  MARKHAM ,  Ontario, Canada"
"Hagerman Corners ,  MARKHAM ,  Ontario, Canada"
"Harvest Bible Chapel ,  MARKHAM ,  Ontario, Canada"
"Legacy Public School ,  MARKHAM ,  Ontario, Canada"
"Markham Centennial Community Centre ,  MARKHAM ,  Ontario, Canada"
"Markham Civic Centre ,  MARKHAM ,  Ontario, Canada"
"Markham Gateway Public School ,  MARKHAM ,  Ontario, Canada"
"Markham Village Community Library ,  MARKHAM ,  Ontario, Canada"
"Milliken Mills Community Centre ,  MARKHAM ,  Ontario, Canada"
"Milliken Mills Public School ,  MARKHAM ,  Ontario, Canada"
"Mother Teresa Elementary School ,  MARKHAM ,  Ontario, Canada"
"Parkland Public School ,  MARKHAM ,  Ontario, Canada"
"Parkview Public School ,  MARKHAM ,  Ontario, Canada"
"Randall Public School ,  MARKHAM ,  Ontario, Canada"
"Sir Richard W. Scott Catholic School ,  MARKHAM ,  Ontario, Canada"
"St. Benedict Catholic School ,  MARKHAM ,  Ontario, Canada"
"St. Francis Xavier Catholic School ,  MARKHAM ,  Ontario, Canada"
"St. Justin Martyr School ,  MARKHAM ,  Ontario, Canada"
"St. Matthew Catholic School ,  MARKHAM ,  Ontario, Canada"
"St. Patrick Catholic School ,  MARKHAM ,  Ontario, Canada"
"St. Vincent de Paul Elementary School ,  MARKHAM ,  Ontario, Canada"
"Sunrise Assisted Living ,  MARKHAM ,  Ontario, Canada"
"The Hunt Club ,  MARKHAM ,  Ontario, Canada"
"Tony Wong Place ,  MARKHAM ,  Ontario, Canada"
"Unionville Centre for Seniors ,  MARKHAM ,  Ontario, Canada"
"Unionville Home Society ,  MARKHAM ,  Ontario, Canada"
"Unionville Meadows Public School ,  MARKHAM ,  Ontario, Canada"
"Unionville Public School ,  UNIONVILLE ,  Ontario, Canada"
"Waldon Pond 1 ,  MARKHAM ,  Ontario, Canada"
"Waldon Pond 2 ,  MARKHAM ,  Ontario, Canada"
"Wilclay Public School ,  MARKHAM ,  Ontario, Canada"
"William Armstrong Public School ,  MARKHAM ,  Ontario, Canada"
"William Berczy Public School ,  MARKHAM ,  Ontario, Canada"
"Andover Gardens ,  LONDON ,  Ontario, Canada"
"Baseline Adult and Seniors Apartments ,  LONDON ,  Ontario, Canada"
"Beaverbrook Towers ,  LONDON ,  Ontario, Canada"
"Berkshire Club ,  LONDON ,  Ontario, Canada"
"Byron Community Church ,  LONDON ,  Ontario, Canada"
"Byron Memorial Library ,  LONDON ,  Ontario, Canada"
"Byron Optimist Recreation Centre ,  LONDON ,  Ontario, Canada"
"Byron Somerset Public School ,  LONDON ,  Ontario, Canada"
"Byron United Church ,  LONDON ,  Ontario, Canada"
"Calvary United Church ,  LONDON ,  Ontario, Canada"
"Chelsey Park Retirement Community ,  LONDON ,  Ontario, Canada"
"Civic Garden Complex ,  LONDON ,  Ontario, Canada"
"Clara Brenton Public School ,  LONDON ,  Ontario, Canada"
"Elmwood Avenue Presbyterian Church ,  LONDON ,  Ontario, Canada"
"Emily Carr Public School ,  LONDON ,  Ontario, Canada"
"Five After Five Apartments ,  LONDON ,  Ontario, Canada"
"Forest City Bible Church ,  LONDON ,  Ontario, Canada"
"Greek Canadian Community Centre ,  LONDON ,  Ontario, Canada"
"Hillside Church ,  LONDON ,  Ontario, Canada"
"Holy Family Parish ,  LONDON ,  Ontario, Canada"
"Jean Vanier Catholic School ,  LONDON ,  Ontario, Canada"
"John Dearness Public School ,  LONDON ,  Ontario, Canada"
"Kinsmen Recreation Centre ,  LONDON ,  Ontario, Canada"
"Lgt Family Church ,  LONDON ,  Ontario, Canada"
"London Christian Academy ,  LONDON ,  Ontario, Canada"
"Longworth Retirement Community ,  LONDON ,  Ontario, Canada"
"McCormick Home ,  LONDON ,  Ontario, Canada"
"Medway Community Centre ,  LONDON ,  Ontario, Canada"
"Mount Zion United Church ,  LONDON ,  Ontario, Canada"
"Mountsfield Public School ,  LONDON ,  Ontario, Canada"
"Oakridge Presbyterian Church ,  LONDON ,  Ontario, Canada"
"Oxford Adult and Seniors Apartments ,  LONDON ,  Ontario, Canada"
"Packwood Place ,  LONDON ,  Ontario, Canada"
"Peoplecare Oakcrossing London ,  LONDON ,  Ontario, Canada"
"Proudfoot Place ,  LONDON ,  Ontario, Canada"
"Redeemer Lutheran Church ,  LONDON ,  Ontario, Canada"
"Riverbend Golf Community ,  LONDON ,  Ontario, Canada"
"Riverside Retirement Residence ,  LONDON ,  Ontario, Canada"
"Riverside United Church ,  LONDON ,  Ontario, Canada"
"Roseland Ammenities Centre ,  LONDON ,  Ontario, Canada"
"Sherwood Forest Public Library ,  LONDON ,  Ontario, Canada"
"Sir Isaac Brock Public School ,  LONDON ,  Ontario, Canada"
"Southwest Optimist Park ,  LONDON ,  Ontario, Canada"
"St. Aidans Anglican Church ,  LONDON ,  Ontario, Canada"
"St. Andrew Memorial Church ,  LONDON ,  Ontario, Canada"
"St. Annes Anglican Church ,  LONDON ,  Ontario, Canada"
"St. Ansgar Lutheran Church ,  LONDON ,  Ontario, Canada"
"St. George Parish ,  LONDON ,  Ontario, Canada"
"St. James Westminster Anglican Church ,  LONDON ,  Ontario, Canada"
"St. John the Divine Catholic Church ,  LONDON ,  Ontario, Canada"
"St. Jude Catholic School ,  LONDON ,  Ontario, Canada"
"St. Marguerite D'Youville Catholic School ,  LONDON ,  Ontario, Canada"
"St. Michael and  All Angels Anglican Church ,  LONDON ,  Ontario, Canada"
"St. Theresa Catholic School ,  LONDON ,  Ontario, Canada"
"Tecumseh Public School ,  LONDON ,  Ontario, Canada"
"The Church of the Londoners ,  LONDON ,  Ontario, Canada"
"The Gartshore ,  LONDON ,  Ontario, Canada"
"The Riverview ,  LONDON ,  Ontario, Canada"
"Trafalgar Terrace ,  LONDON ,  Ontario, Canada"
"W. Sherwood Fox Public School ,  LONDON ,  Ontario, Canada"
"West London Alliance Church ,  LONDON ,  Ontario, Canada"
"West Park Baptist ,  LONDON ,  Ontario, Canada"
"Westcliff ,  LONDON ,  Ontario, Canada"
"Westmount Presbyterian Church ,  LONDON ,  Ontario, Canada"
"Westmount Public School ,  LONDON ,  Ontario, Canada"
"Westview Baptist Church ,  LONDON ,  Ontario, Canada"
"Wilfrid Jury Public School ,  LONDON ,  Ontario, Canada"
"William Mercer Wilson Centre ,  LONDON ,  Ontario, Canada"
"Windy Woods Co-Operative Homes ,  LONDON ,  Ontario, Canada"
"ƒcole secondaire Monseigneur Bruyere ,  LONDON ,  Ontario, Canada"
"155 Kent Street ,  LONDON ,  Ontario, Canada"
"170 Kent Street ,  LONDON ,  Ontario, Canada"
"202 McNay Street ,  LONDON ,  Ontario, Canada"
"345 Wharncliffe Road North ,  LONDON ,  Ontario, Canada"
"600 Talbot Street ,  LONDON ,  Ontario, Canada"
"695 Proudfoot Lane ,  LONDON ,  Ontario, Canada"
"695 Richmond Street ,  LONDON ,  Ontario, Canada"
"700 Horizon Drive ,  LONDON ,  Ontario, Canada"
"872 William Street ,  LONDON ,  Ontario, Canada"
"A. B. Lucas Secondary School ,  LONDON ,  Ontario, Canada"
"All Saints Anglican Church ,  LONDON ,  Ontario, Canada"
"Amica at London ,  LONDON ,  Ontario, Canada"
"Beacock Library ,  LONDON ,  Ontario, Canada"
"Bishop Townshend Public School ,  LONDON ,  Ontario, Canada"
"Boyle Memorial Community Centre ,  LONDON ,  Ontario, Canada"
"Boys and Girls Club of London ,  LONDON ,  Ontario, Canada"
"Carling Heights Community Centre ,  LONDON ,  Ontario, Canada"
"Carson Library ,  LONDON ,  Ontario, Canada"
"Catholic Central Secondary School ,  LONDON ,  Ontario, Canada"
"Central Library ,  LONDON ,  Ontario, Canada"
"Chateau Gardens ,  LONDON ,  Ontario, Canada"
"Cherryhill Library ,  LONDON ,  Ontario, Canada"
"Cherryhill Seniors Activity Club ,  LONDON ,  Ontario, Canada"
"Colborne Centre ,  LONDON ,  Ontario, Canada"
"Community of Christ ,  LONDON ,  Ontario, Canada"
"Cornerstone United Reformed Church ,  LONDON ,  Ontario, Canada"
"Crouch Library ,  LONDON ,  Ontario, Canada"
"Dayspring Presbyterian Church ,  LONDON ,  Ontario, Canada"
"Eastern Star Temple ,  LONDON ,  Ontario, Canada"
"Elgin Hall ,  LONDON ,  Ontario, Canada"
"Extendicare ,  LONDON ,  Ontario, Canada"
"Granite House ,  LONDON ,  Ontario, Canada"
"Grosvenor Gate Apartments ,  LONDON ,  Ontario, Canada"
"Hamilton Road Seniors Centre ,  LONDON ,  Ontario, Canada"
"Horizon Place ,  LONDON ,  Ontario, Canada"
"Impact Church ,  LONDON ,  Ontario, Canada"
"Jack Chambers Public School ,  LONDON ,  Ontario, Canada"
"King's University College ,  LONDON ,  Ontario, Canada"
"Kiwanis Seniors Centre ,  LONDON ,  Ontario, Canada"
"Knollwood Park Public School ,  LONDON ,  Ontario, Canada"
"London Hall ,  LONDON ,  Ontario, Canada"
"London Intercommunity Health Centre ,  LONDON ,  Ontario, Canada"
"London Jewish Community Centre ,  LONDON ,  Ontario, Canada"
"London Waldorf School ,  LONDON ,  Ontario, Canada"
"Maple View Terrace ,  LONDON ,  Ontario, Canada"
"Masonville Manor ,  LONDON ,  Ontario, Canada"
"Masonville Public School ,  LONDON ,  Ontario, Canada"
"McGarrell Place ,  LONDON ,  Ontario, Canada"
"Mother Teresa Catholic Secondary School ,  LONDON ,  Ontario, Canada"
"Mount Hope Centre for Long Term Care ,  LONDON ,  Ontario, Canada"
"Museum of Ontario Archaeology ,  LONDON ,  Ontario, Canada"
"North London 7th Day Adventist Church ,  LONDON ,  Ontario, Canada"
"Northbrae Public School ,  LONDON ,  Ontario, Canada"
"Northridge Public School ,  LONDON ,  Ontario, Canada"
"Orchard Park Public School ,  LONDON ,  Ontario, Canada"
"Pineridge ,  LONDON ,  Ontario, Canada"
"Polish Combatants Hall ,  LONDON ,  Ontario, Canada"
"Queen's Village ,  LONDON ,  Ontario, Canada"
"Richmond Woods Retirement Centre ,  LONDON ,  Ontario, Canada"
"Ridgeview Community Church ,  LONDON ,  Ontario, Canada"
"Rowntree Memorial United Church ,  LONDON ,  Ontario, Canada"
"Ryerson Public School ,  LONDON ,  Ontario, Canada"
"Saugeen Maitland Hall ,  LONDON ,  Ontario, Canada"
"Scouts Canada ,  LONDON ,  Ontario, Canada"
"Sir George Ross Secondary School ,  LONDON ,  Ontario, Canada"
"Sir John A Macdonald Public School ,  LONDON ,  Ontario, Canada"
"Sisters of St. Joseph Residence ,  LONDON ,  Ontario, Canada"
"St. Catherine of Siena Catholic School ,  LONDON ,  Ontario, Canada"
"St. George's Public School ,  LONDON ,  Ontario, Canada"
"St. John the Evangelist Church ,  LONDON ,  Ontario, Canada"
"St. Jude Anglican Church ,  LONDON ,  Ontario, Canada"
"St. Lawrence Presbyterian Church ,  LONDON ,  Ontario, Canada"
"St. Patricks Parish Hall ,  LONDON ,  Ontario, Canada"
"St. Pauls Cathedral ,  LONDON ,  Ontario, Canada"
"Thames Secondary School ,  LONDON ,  Ontario, Canada"
"The Gainsborough ,  LONDON ,  Ontario, Canada"
"The Salvation Army Hillcrest Church ,  LONDON ,  Ontario, Canada"
"Trinity Lutheran Church ,  LONDON ,  Ontario, Canada"
"Windermere on the Mount ,  LONDON ,  Ontario, Canada"
"ƒcole Saint Jean de Brebeuf ,  LONDON ,  Ontario, Canada"
"Argyle Mall ,  LONDON ,  Ontario, Canada"
"Arthur Stringer Public School ,  LONDON ,  Ontario, Canada"
"Ashley Oaks Public School ,  LONDON ,  Ontario, Canada"
"Best Western Lamplighter Inn ,  LONDON ,  Ontario, Canada"
"Bob Hayward YMCA ,  LONDON ,  Ontario, Canada"
"Chalmers Presbyterian Church ,  LONDON ,  Ontario, Canada"
"Church In the Oaks ,  LONDON ,  Ontario, Canada"
"Clarke Road Secondary School ,  LONDON ,  Ontario, Canada"
"Compass Community Church ,  LONDON ,  Ontario, Canada"
"Dearness Home ,  LONDON ,  Ontario, Canada"
"Earl Nichols Arena ,  LONDON ,  Ontario, Canada"
"East London Public Library ,  LONDON ,  Ontario, Canada"
"Faith Lutheran Church ,  LONDON ,  Ontario, Canada"
"Glen Cairn Public School ,  LONDON ,  Ontario, Canada"
"Kensington Village ,  LONDON ,  Ontario, Canada"
"London District Christian Secondary School ,  LONDON ,  Ontario, Canada"
"Marconi Club ,  LONDON ,  Ontario, Canada"
"Meadow Park Nursing Home and Retirement Lodge ,  LONDON ,  Ontario, Canada"
"Nicholas Wilson Public School ,  LONDON ,  Ontario, Canada"
"North Park Community Church ,  LONDON ,  Ontario, Canada"
"Parkwood Hospital ,  LONDON ,  Ontario, Canada"
"Princess Elizabeth Public School ,  LONDON ,  Ontario, Canada"
"Regional Mental Health Care ,  LONDON ,  Ontario, Canada"
"Rick Hansen Public School ,  LONDON ,  Ontario, Canada"
"Rivers Edge Condominium(s) ,  LONDON ,  Ontario, Canada"
"Seventh Day Adventist Church ,  LONDON ,  Ontario, Canada"
"Sir Arthur Carty Separate School ,  LONDON ,  Ontario, Canada"
"Southdale Bible Chapel ,  LONDON ,  Ontario, Canada"
"St. George Presbyterian Church ,  LONDON ,  Ontario, Canada"
"St. Pius X Separate School ,  LONDON ,  Ontario, Canada"
"Stronach Community Centre ,  LONDON ,  Ontario, Canada"
"Unitarian Fellowship of London ,  LONDON ,  Ontario, Canada"
"Wilton Grove Public School ,  LONDON ,  Ontario, Canada"
"Addison United Church Hall ,  ADDISON ,  Ontario, Canada"
"Algonquin United Church Hall ,  BROCKVILLE ,  Ontario, Canada"
"Athens Fire Hall ,  ATHENS ,  Ontario, Canada"
"Bayfield Manor ,  KEMPTVILLE ,  Ontario, Canada"
"Bethel Christian Reformed Church ,  BROCKVILLE ,  Ontario, Canada"
"Bridlewood Manor ,  BROCKVILLE ,  Ontario, Canada"
"Brockville Collegiate Institute ,  BROCKVILLE ,  Ontario, Canada"
"Brockville General Hospital Garden Street ,  BROCKVILLE ,  Ontario, Canada"
"Brockville Memorial Civic Centre ,  BROCKVILLE ,  Ontario, Canada"
"Brockville Mental Health Centre ,  BROCKVILLE ,  Ontario, Canada"
"Brockville Rowing Club ,  BROCKVILLE ,  Ontario, Canada"
"Burritts Rapids Community Hall ,  BURRITTS RAPIDS ,  Ontario, Canada"
"Carveth Care Centre ,  GANANOQUE ,  Ontario, Canada"
"Christ Anglican Church Hall ,  GANANOQUE ,  Ontario, Canada"
"Christ United Church ,  LYN ,  Ontario, Canada"
"Commonwealth Public School ,  BROCKVILLE ,  Ontario, Canada"
"Community Hall ,  NORTH AUGUSTA ,  Ontario, Canada"
"Crosby Community Centre ,  CROSBY ,  Ontario, Canada"
"Delta Fairgrounds ,  DELTA ,  Ontario, Canada"
"Drummond Building ,  SPENCERVILLE ,  Ontario, Canada"
"Elgin Mun Complex ,  ELGIN ,  Ontario, Canada"
"Elizabethtown-Kitley Fire Station 1 ,  LYN ,  Ontario, Canada"
"Elizabethtown-Kitley Fire Station 2 ,  ADDISON ,  Ontario, Canada"
"First Presbyterian Church Hall ,  BROCKVILLE ,  Ontario, Canada"
"Fox Run Retirement Residence ,  LEEDS AND THE THOUSAND ISLANDS ,  Ontario, Canada"
"Gananoque Secondary School ,  GANANOQUE ,  Ontario, Canada"
"Grenville Snowmobile Club ,  PRESCOTT ,  Ontario, Canada"
"Highway Pentecostal Church Hall ,  BROCKVILLE ,  Ontario, Canada"
"Hilltop Manor Home ,  MERRICKVILLE ,  Ontario, Canada"
"Kemptville District Hospital ,  NORTH GRENVILLE ,  Ontario, Canada"
"Lombardy Agricultural Hall ,  LOMBARDY ,  Ontario, Canada"
"Masonic Complex ,  PRESCOTT ,  Ontario, Canada"
"Merrickville Community Centre ,  MERRICKVILLE ,  Ontario, Canada"
"Morton Community Hall ,  LYNDHURST ,  Ontario, Canada"
"Newboro Community Hall ,  NEWBORO ,  Ontario, Canada"
"North Crosby Community Centre ,  WESTPORT ,  Ontario, Canada"
"O'Reilly's Your Independent Grocer ,  PRESCOTT ,  Ontario, Canada"
"Oxford Furniture ,  OXFORD STATION ,  Ontario, Canada"
"Oxford On Rideau Public School ,  OXFORD MILLS ,  Ontario, Canada"
"Portland Community Hall ,  PORTLAND ,  Ontario, Canada"
"Riverview Apartments ,  GANANOQUE ,  Ontario, Canada"
"Rockport Recreation Hall ,  ROCKPORT ,  Ontario, Canada"
"Roebuck Community Centre ,  SPENCERVILLE ,  Ontario, Canada"
"Rosebridge Manor ,  JASPER ,  Ontario, Canada"
"Rosedale Retirement Centre ,  BROCKVILLE ,  Ontario, Canada"
"Royal Canadian Legion Branch 475 ,  TOLEDO ,  Ontario, Canada"
"Royal Canadian Legion Branch 484 ,  MALLORYTOWN ,  Ontario, Canada"
"Royal Canadian Legion Branch 504 ,  LYNDHURST ,  Ontario, Canada"
"Seeleys Bay Community Hall ,  SEELEYS BAY ,  Ontario, Canada"
"Sherwood Park Manor ,  ELIZBETHTOWN-KITLEY ,  Ontario, Canada"
"South Edwardsburg Community Centre ,  PRESCOTT ,  Ontario, Canada"
"South Elmsley Mun Complex ,  LOMBARDY ,  Ontario, Canada"
"Spring Valley Community Hall ,  BROCKVILLE ,  Ontario, Canada"
"St. Andrew's Presbyterian Church Hall ,  PRESCOTT ,  Ontario, Canada"
"St. Andrew's United Church Hall ,  BISHOPS MILLS ,  Ontario, Canada"
"St. Denis Catholic Church Hall ,  ATHENS ,  Ontario, Canada"
"St. James Hall ,  MAITLAND ,  Ontario, Canada"
"St. John Bosco Church Hall ,  BROCKVILLE ,  Ontario, Canada"
"St. Lawrence Lodge ,  BROCKVILLE ,  Ontario, Canada"
"St. Paul's Anglican Church Hall ,  CARDINAL ,  Ontario, Canada"
"St. Thomas Anglican Church Hall ,  FRANKVILLE ,  Ontario, Canada"
"The Cornerstone,Calvary Pentecostal ,  GANANOQUE ,  Ontario, Canada"
"Thousand Islands Elementary School ,  LANSDOWNE ,  Ontario, Canada"
"Township of Leeds & Thousand Islands Mun Building ,  LANSDOWNE ,  Ontario, Canada"
